,,
1134,1278.5,1709.4
58.441,53.245,87.102
27,28,29
1240,1108,1791
1256,1074,1941
1262,1193,1872
1321,1290,1466
1336,1098,1878
1309,1091,1764
1346,1189,1977
1386,1282,1825
1416,1387,1487
1365,1199,1193
1365,1169,1791
1254,1191,1729
1323,1275,1805
1352,1496,1690
1340,1303,1495
1267,1246,1212
1188,1132,1712
1298,1153,1692
1231,1148,1673
1222,1487,1637
1163,1367,1461
1164,1277,1200
1259,1114,1676
1210,1047,1740
1241,1352,1633
1228,1238,1689
1232,1158,1471
28,1058,1625
1379,28,1685
1244,1164,29
1241,1258,1768
1399,1177,1941
1373,1156,1816
1282,1277,1496
1325,1319,1759
1384,1434,1748
1389,1239,1979
1299,1212,1742
1277,1263,1491
1292,1341,1247
1298,1459,1756
1166,1493,1719
1309,1343,1856
1220,1320,1653
1266,1238,1532
1239,1291,1317
1213,1311,1661
1091,1493,1712
1214,1432,1794
1206,1382,1625
1216,1233,1567
1197,1204,1348
1218,1171,1714
1229,1437,1743
1206,1350,1633
1188,1217,1610
29,1161,1362
1400,26,1620
1169,1291,1616
1200,1234,28
1344,1296,1714
1377,1259,1826
1176,1436,1797
1255,1278,1539
1307,1270,1679
1348,1308,1883
1333,1336,1683
1194,1401,1528
1244,1469,1317
1217,1343,1641
1144,1380,1688
1333,1338,1860
1275,1389,1546
1194,1356,1543
1196,1448,1375
1119,1462,1702
1052,1473,1790
1270,1334,1534
1195,1381,1549
1166,1206,1456
1162,1457,1705
1082,1447,1774
1147,1338,1534
1120,1362,1569
1136,27,1457
1146,1389,1704
28,1335,1514
1178,1259,1580
1197,1178,28
1259,1260,1755
1187,1344,1754
1193,1285,1607
1243,1249,1413
1154,1205,1605
1227,1279,1770
1137,1359,1690
1170,1354,1583
1129,1294,1443
1110,1293,1601
1231,1230,1778
1198,1212,1622
1112,1399,1600
1143,1420,1482
994,1319,1277
989,1385,1664
1260,1191,1749
1134,1462,1551
1113,1451,1533
1116,1338,1493
993,1370,1342
967,1152,1645
1078,1310,1768
1103,29,1587
1147,1431,1570
1037,1181,1558
26,1145,1636
1158,1212,1643
1156,1411,28
1192,1355,1629
1129,1162,1685
1015,1137,1686
1138,1176,1514
1107,1228,1608
1125,1341,1652
1000,1267,1674
1058,1176,1689
1053,1216,1504
1111,1157,1279
1065,1305,1602
1085,1393,1654
927,1298,1638
933,1223,1658
1143,1292,1509
1119,1153,1307
1071,1359,1594
1080,1473,1703
958,1375,1661
917,1286,1643
1120,1266,1579
1118,1118,1371
1213,1301,1754
1059,1181,1738
28,29,1685
1156,1440,1660
1148,1138,1765
1152,1196,1750
1069,1292,29
1135,1456,1604
1116,1393,1610
1072,1135,1715
981,1215,1603
995,1267,1564
1010,1189,1628
1128,1397,1684
1107,1291,1559
1071,1181,1365
917,1243,1617
878,1234,1611
1174,1341,1638
1110,1376,1672
1065,1263,1538
946,1268,1379
873,1276,1532
1191,1210,1721
1158,1395,1715
1182,1305,1690
1060,1350,1594
892,1264,1426
1226,1180,1779
1333,1379,1774
1125,1432,1727
28,1243,1748
1126,27,1571
1133,1190,1850
1158,1300,1829
1177,1366,1885
1110,1421,28
1105,1213,1612
1019,1353,1721
979,1401,1721
1170,1088,1506
1153,1459,1608
1119,1335,1678
965,1259,1724
869,1376,1635
912,1318,1503
1186,1201,1599
1162,1271,1755
1134,1339,1689
988,1356,1601
874,1283,1527
939,1329,1378
1212,1302,1672
1167,1460,1728
1185,1320,1647
1049,1258,1654
922,1289,1572
1225,1546,1370
1290,1335,1683
1119,1248,1712
